21,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date
16.1,46.2,11,145,7,3.12,3,2,,v South Africa,Visakhapatnam,2 Oct 2019
29.5,20,5,44,1,2.2,1,4,,v South Africa,Visakhapatnam,2 Oct 2019
18,28.4,9,69,4,2.4,5,2,,v South Africa,Pune,10 Oct 2019
24,21,6,45,2,2.14,4,3,,v South Africa,Pune,10 Oct 2019
14,12,1,48,0,4,5,2,,v South Africa,Ranchi,19 Oct 2019
15,10,3,28,1,2.8,5,3,,v South Africa,Ranchi,19 Oct 2019
17,16,1,43,2,2.68,4,1,,v Bangladesh,Indore,14 Nov 2019
21,14.2,6,42,3,2.93,5,3,,v Bangladesh,Indore,14 Nov 2019
19,DNB,-,-,-,-,-,1,,v Bangladesh,Eden Gardens,22 Nov 2019
34,5,0,19,0,3.8,4,3,,v Bangladesh,Eden Gardens,22 Nov 2019
15.3,55.1,5,146,3,2.64,3,1,,v England,Chennai,5 Feb 2021
43.5,17.3,2,61,6,3.48,1,3,,v England,Chennai,5 Feb 2021
31,23.5,4,43,5,1.8,2,2,,v England,Chennai,13 Feb 2021
15,18,5,53,3,2.94,3,4,,v England,Chennai,13 Feb 2021
28,16,6,26,3,1.62,4,1,,v England,Ahmedabad,24 Feb 2021
42,15,3,48,4,3.2,2,3,,v England,Ahmedabad,24 Feb 2021
32,19.5,4,47,3,2.36,4,1,,v England,Ahmedabad,4 Mar 2021
24,22.5,4,47,5,2.05,3,3,,v England,Ahmedabad,4 Mar 2021
38,42.3,10,82,3,1.92,3,2,,v New Zealand,Kanpur,25 Nov 2021
52.3,30,12,35,3,1.16,1,4,,v New Zealand,Kanpur,25 Nov 2021
6.1,8,2,8,4,1,4,2,,v New Zealand,Wankhede,3 Dec 2021
42.3,22.3,9,34,4,1.51,2,4,,v New Zealand,Wankhede,3 Dec 2021
3.4,20,7,49,2,2.45,3,2,,v Sri Lanka,Mohali,4 Mar 2022
27,21,5,47,4,2.23,1,3,,v Sri Lanka,Mohali,4 Mar 2022
43,8.5,1,30,2,3.39,2,2,,v Sri Lanka,Bengaluru,12 Mar 2022
24,19.3,3,55,4,2.82,3,4,,v Sri Lanka,Bengaluru,12 Mar 2022
22,15.5,2,42,3,2.65,5,1,,v Australia,Nagpur,9 Feb 2023
16.3,12,3,37,5,3.08,2,3,,v Australia,Nagpur,9 Feb 2023
26.5,21,4,57,3,2.71,3,1,,v Australia,Delhi,17 Feb 2023
52.1,16,3,59,3,3.68,1,3,,v Australia,Delhi,17 Feb 2023
15.2,20.3,4,44,3,2.14,1,2,,v Australia,Indore,1 Mar 2023
14,9.5,3,44,1,4.47,1,4,,v Australia,Indore,1 Mar 2023
40,47.2,15,91,6,1.92,3,1,,v Australia,Ahmedabad,9 Mar 2023
27,24,9,58,1,2.41,1,3,,v Australia,Ahmedabad,9 Mar 2023
21.3,21,1,68,3,3.23,4,1,,v England,Hyderabad,25 Jan 2024
,29,4,126,3,4.34,2,3,,v England,Hyderabad,25 Jan 2024
,,,7229,343,,,,,,,
,,,,,,,,,,,
,,mean,21.07580175,,,,,,,,
